src,tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,Sectors
qlp,28900646,.01,0,,,,,,,,,,,,,48
qlp,28961316,.01,0,,,,,,,,,,,,,48
qlp,29017001,.01,0,,,,,,,,,,,,,48
qlp,29105766,.01,0,,,,,,,,,,,,,48
qlp,29117085,.01,0,,,,,,,,,,,,,48
qlp,29119552,.01,0,,,,,,,,,,,,,48
qlp,29191624,.01,0,,,,,,,,,,,,,48
qlp,29344935,.01,0,,,,,,,,,,,,,48
qlp,29781292,.01,0,,,,,,,,,,,,,48
qlp,29831208,.01,0,,,,,,,,,,,,,48
qlp,29857954,.01,0,,,,,,,,,,,,,48
qlp,29918916,.01,0,,,,,,,,,,,,,48
qlp,29959760,.01,0,,,,,,,,,,,,,48
qlp,29960109,.01,0,,,,,,,,,,,,,48
qlp,29960110,.01,0,,,,,,,,,,,,,48
qlp,30122649,.01,0,,,,,,,,,,,,,48
qlp,30312676,.01,0,,,,,,,,,,,,,48
qlp,30329585,.01,0,,,,,,,,,,,,,48
qlp,30828562,.01,0,,,,,,,,,,,,,48
qlp,31268146,.01,0,,,,,,,,,,,,,48
qlp,31374837,.01,0,,,,,,,,,,,,,48
qlp,31515092,.01,0,,,,,,,,,,,,,48
qlp,31553893,.01,0,,,,,,,,,,,,,48
qlp,31637479,.01,0,,,,,,,,,,,,,48
qlp,31858843,.01,0,,,,,,,,,,,,,48
qlp,31858844,.01,0,,,,,,,,,,,,,48
qlp,32090583,.01,0,,,,,,,,,,,,,48
qlp,32283946,.01,0,,,,,,,,,,,,,48
qlp,32460142,.01,0,,,,,,,,,,,,,48
qlp,32487566,.01,0,,,,,,,,,,,,,48
qlp,32497972,.01,0,,,,,,,,,,,,,48
qlp,32499655,.01,0,,,,,,,,,,,,,48
qlp,32830028,.01,0,,,,,,,,,,,,,48
qlp,32949762,.01,0,,,,,,,,,,,,,48
qlp,33091590,.01,0,,,,,,,,,,,,,48
qlp,33091633,.01,0,,,,,,,,,,,,,48
qlp,33153766,.01,0,,,,,,,,,,,,,48
qlp,33350443,.01,0,,,,,,,,,,,,,48
qlp,33521996,.01,0,,,,,,,,,,,,,48
qlp,33692729,.01,0,,,,,,,,,,,,,48
qlp,34068865,.01,0,,,,,,,,,,,,,48
qlp,34077285,.01,0,,,,,,,,,,,,,48
qlp,34551972,.01,0,,,,,,,,,,,,,48
qlp,34646336,.01,0,,,,,,,,,,,,,48
qlp,35009898,.01,0,,,,,,,,,,,,,48
qlp,35022727,.01,0,,,,,,,,,,,,,48
qlp,35516889,.01,0,,,,,,,,,,,,,48
qlp,35582553,.01,0,,,,,,,,,,,,,48
qlp,35857242,.01,0,,,,,,,,,,,,,48
qlp,36352297,.01,0,,,,,,,,,,,,,48
qlp,36440357,.01,0,,,,,,,,,,,,,48
qlp,36592530,.01,0,,,,,,,,,,,,,48
qlp,36724087,.01,0,,,,,,,,,,,,,48
qlp,36734222,.01,0,,,,,,,,,,,,,48
qlp,37084932,.01,0,,,,,,,,,,,,,48
qlp,37117064,.01,0,,,,,,,,,,,,,48
qlp,37168957,.01,0,,,,,,,,,,,,,48
qlp,37575651,.01,0,,,,,,,,,,,,,48
qlp,37770169,.01,0,,,,,,,,,,,,,48
qlp,38087018,.01,0,,,,,,,,,,,,,48
qlp,38161230,.01,0,,,,,,,,,,,,,48
qlp,38467100,.01,0,,,,,,,,,,,,,48
qlp,38541473,.01,0,,,,,,,,,,,,,48
qlp,38603673,.01,0,,,,,,,,,,,,,48
qlp,38680052,.01,0,,,,,,,,,,,,,48
qlp,38686737,.01,0,,,,,,,,,,,,,48
qlp,38696105,.01,0,,,,,,,,,,,,,48
qlp,38846515,.01,0,,,,,,,,,,,,,48
qlp,39018923,.01,0,,,,,,,,,,,,,48
qlp,39077574,.01,0,,,,,,,,,,,,,48
qlp,39080923,.01,0,,,,,,,,,,,,,48
qlp,39143128,.01,0,,,,,,,,,,,,,48
qlp,39200363,.01,0,,,,,,,,,,,,,48
qlp,39699648,.01,0,,,,,,,,,,,,,48
